analysis_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	analysis_type	reference_genome	pipeline_name	pipeline_version	cell_type	tissue_type	disease	dev_stage	host	host_sex	age	experimental_factor	first_public	submitted_ftp	submitted_md5	submitted_bytes	submitted_aspera	generated_ftp	generated_md5	generated_bytes	generated_aspera
ERZ375540	PRJEB9586	SAMEA3302862		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375540/LP6005442-DNA_H12.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375540/LP6005442-DNA_H12.annotated.nh2.vcf.gz.tbi	d203c9600b5f5d21706b94eb96c48f6e;8d30af12589009c65acd5d2dbc85c377	27249587018;2730208	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375540/LP6005442-DNA_H12.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375540/LP6005442-DNA_H12.annotated.nh2.vcf.gz.tbi				
ERZ375543	PRJEB9586	SAMEA3302614		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375543/LP6005441-DNA_F09.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375543/LP6005441-DNA_F09.annotated.nh2.vcf.gz.tbi	f3a9580152d19f1693bc875b0f53e70f;1ba931edda42a39941609ca95f554737	27269444156;2730341	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375543/LP6005441-DNA_F09.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375543/LP6005441-DNA_F09.annotated.nh2.vcf.gz.tbi				
ERZ125635	PRJEB9586	SAMEA3302718		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125635/srt.aln.bam	4337f3a8f0c22e958b4ead3a09e26a0f	100140996404	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125635/srt.aln.bam				
ERZ375544	PRJEB9586	SAMEA3302838		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375544/LP6005442-DNA_A04.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375544/LP6005442-DNA_A04.annotated.nh2.vcf.gz.tbi	f861b5ef71d78770db9499d7e0cb9e90;a81b5bca0f89e928556eaa40334fec17	25592081837;2731106	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375544/LP6005442-DNA_A04.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375544/LP6005442-DNA_A04.annotated.nh2.vcf.gz.tbi				
ERZ125639	PRJEB9586	SAMEA3302883		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125639/srt.aln.bam	8ed0d987c507b28a900e3b7a20002591	90578537518	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125639/srt.aln.bam				
ERZ125651	PRJEB9586	SAMEA3302722		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125651/srt.aln.bam	c650c0599b553f6e406f054989461892	96165476742	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125651/srt.aln.bam				
ERZ375548	PRJEB9586	SAMEA3302716		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375548/LP6005441-DNA_B08.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375548/LP6005441-DNA_B08.annotated.nh2.vcf.gz.tbi	3e4b8f8f0491e05c1c003c7322024889;d33c22ad62b561d83c4704b0c1d60dd4	28074559367;2729928	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375548/LP6005441-DNA_B08.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375548/LP6005441-DNA_B08.annotated.nh2.vcf.gz.tbi				
ERZ375550	PRJEB9586	SAMEA3302704		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375550/LP6005443-DNA_F07.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375550/LP6005443-DNA_F07.annotated.nh2.vcf.gz.tbi	e6bf0053191947729f050692fc4a2099;18ae6075eb6cac6bf55da7995ee8bcf6	28025936251;2730840	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375550/LP6005443-DNA_F07.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375550/LP6005443-DNA_F07.annotated.nh2.vcf.gz.tbi				
ERZ125659	PRJEB9586	SAMEA3302711		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125659/srt.aln.bam	db394a28041c2e0c16a659f861a6e690	100250929810	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125659/srt.aln.bam				
ERZ125661	PRJEB9586	SAMEA3302729		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125661/srt.aln.bam	6960776ce8568b24f1cf06065368933e	93846795648	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125661/srt.aln.bam				
ERZ375551	PRJEB9586	SAMEA3302685		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375551/LP6005441-DNA_H11.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375551/LP6005441-DNA_H11.annotated.nh2.vcf.gz.tbi	dc553b25d7e43cb13d2cd182f405dad5;62411f5d1d41f2df90f972fa2513ba1f	27056170304;2730393	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375551/LP6005441-DNA_H11.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375551/LP6005441-DNA_H11.annotated.nh2.vcf.gz.tbi				
ERZ125663	PRJEB9586	SAMEA3302707		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125663/srt.aln.bam	e4ba08aca2574698675a2247c45b24eb	104300189445	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125663/srt.aln.bam				
ERZ375552	PRJEB9586	SAMEA3302613		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375552/LP6005442-DNA_D11.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375552/LP6005442-DNA_D11.annotated.nh2.vcf.gz.tbi	6b128c288dfe686b58fe7602cf61d851;fa67cf7b8b2ad9a6b6f38a4ecb4401ed	26440002203;2730730	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375552/LP6005442-DNA_D11.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375552/LP6005442-DNA_D11.annotated.nh2.vcf.gz.tbi				
ERZ375553	PRJEB9586	SAMEA3302818		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375553/LP6005443-DNA_B02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375553/LP6005443-DNA_B02.annotated.nh2.vcf.gz.tbi	bb6466be7936ab9df682b64923a1ee4b;d0a4ba66c76403e121c8081ababdb501	28343779025;2729544	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375553/LP6005443-DNA_B02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375553/LP6005443-DNA_B02.annotated.nh2.vcf.gz.tbi				
ERZ312767	PRJEB9586	SAMEA3302656		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312767/LP6005441-DNA_A01.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312767/LP6005441-DNA_A01.srt.aln.bam.bai	e3b80a51b8bb7a8ad8d504e6aaa62ca7;5ded9b0f85de37091a21328f80e79995	100257325122;8869712	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312767/LP6005441-DNA_A01.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312767/LP6005441-DNA_A01.srt.aln.bam.bai				
ERZ312770	PRJEB9586	SAMEA3302776		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312770/LP6005441-DNA_A09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312770/LP6005441-DNA_A09.srt.aln.bam.bai	a90f635279f7de2c3bbf69f13e9ba092;f7305f4c4cdff8d31b0356c2a71a81b2	103532620034;8918112	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312770/LP6005441-DNA_A09.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312770/LP6005441-DNA_A09.srt.aln.bam.bai				
ERZ375554	PRJEB9586	SAMEA3302651		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375554/LP6005592-DNA_A02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375554/LP6005592-DNA_A02.annotated.nh2.vcf.gz.tbi	644dd4ad7f203af9d0848a9e1fd5cf92;aed89bb42a9281c4aa5cb1178b6c7c0f	28767960492;2729677	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375554/LP6005592-DNA_A02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375554/LP6005592-DNA_A02.annotated.nh2.vcf.gz.tbi				
ERZ312772	PRJEB9586	SAMEA3302682		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312772/LP6005441-DNA_A11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312772/LP6005441-DNA_A11.srt.aln.bam.bai	89338cc09a42a973a1bae66283412e00;21090b49b53dc978d606068cba052354	105700442942;8893216	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312772/LP6005441-DNA_A11.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312772/LP6005441-DNA_A11.srt.aln.bam.bai				
ERZ375555	PRJEB9586	SAMEA3302650		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375555/SS6004472.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375555/SS6004472.annotated.nh2.vcf.gz.tbi	b55b81f10d535fb0c19f438207b3b95f;1667b4f4946a5e75b2db3119e9eb517d	27134542381;2730472	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375555/SS6004472.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375555/SS6004472.annotated.nh2.vcf.gz.tbi				
ERZ312774	PRJEB9586	SAMEA3302728		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312774/LP6005441-DNA_B01.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312774/LP6005441-DNA_B01.srt.aln.bam.bai	f8bf2e409c1d7860270a9e814052401c;8a4e4f6a225c4b6a00d236184fb9d2f0	90093999917;8835576	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312774/LP6005441-DNA_B01.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312774/LP6005441-DNA_B01.srt.aln.bam.bai				
ERZ375559	PRJEB9586	SAMEA3302856		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375559/LP6005443-DNA_G03.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375559/LP6005443-DNA_G03.annotated.nh2.vcf.gz.tbi	77725abe7c06a6e4e57c065d8b65fb5b;be08098fe317aad7df10680b7437eb35	27822303679;2729607	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375559/LP6005443-DNA_G03.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375559/LP6005443-DNA_G03.annotated.nh2.vcf.gz.tbi				
ERZ312776	PRJEB9586	SAMEA3302669		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312776/LP6005441-DNA_B04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312776/LP6005441-DNA_B04.srt.aln.bam.bai	754d4180e93774120f5938a4cfad6f57;c1b11c2bab088fd6e8e531c4c2f53f35	106896080768;8869712	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312776/LP6005441-DNA_B04.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312776/LP6005441-DNA_B04.srt.aln.bam.bai				
ERZ375560	PRJEB9586	SAMEA3302829		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375560/LP6005519-DNA_G03.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375560/LP6005519-DNA_G03.annotated.nh2.vcf.gz.tbi	f077b7196b5dd9cbc211b9fd3240785b;d0adefba493b5163c84c3d64f1c8c526	28732836877;2729741	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375560/LP6005519-DNA_G03.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375560/LP6005519-DNA_G03.annotated.nh2.vcf.gz.tbi				
ERZ375562	PRJEB9586	SAMEA3302709		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375562/LP6005519-DNA_G02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375562/LP6005519-DNA_G02.annotated.nh2.vcf.gz.tbi	19f78e1e96c2316ecd2ba41fdc586458;c1c2d2151c254e800874f53c1dfe022f	30087280771;2728997	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375562/LP6005519-DNA_G02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375562/LP6005519-DNA_G02.annotated.nh2.vcf.gz.tbi				
ERZ312779	PRJEB9586	SAMEA3302882		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312779/LP6005441-DNA_B07.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312779/LP6005441-DNA_B07.srt.aln.bam.bai	f1d1433447c008a5fba9d6342e278f33;026cf5d778f37560779b262a92d282d4	94069516970;8836120	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312779/LP6005441-DNA_B07.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312779/LP6005441-DNA_B07.srt.aln.bam.bai				
ERZ312781	PRJEB9586	SAMEA3302620		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312781/LP6005441-DNA_B09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312781/LP6005441-DNA_B09.srt.aln.bam.bai	dde362fe6766a0291cd6e9fb3d31c4da;5f94c6bcd9eee118cbc785c0ef87bfee	106279403129;8908384	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312781/LP6005441-DNA_B09.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312781/LP6005441-DNA_B09.srt.aln.bam.bai				
ERZ375563	PRJEB9586	SAMEA3302765		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375563/LP6007069-DNA_A01.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375563/LP6007069-DNA_A01.annotated.nh2.vcf.gz.tbi	6896614c35b29a095a4605df2b9b3040;c64c7ec22d309adccb5d9c5e71666aa9	28119552342;2730075	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375563/LP6007069-DNA_A01.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375563/LP6007069-DNA_A01.annotated.nh2.vcf.gz.tbi				
ERZ375566	PRJEB9586	SAMEA3302784		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375566/LP6005519-DNA_D01.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375566/LP6005519-DNA_D01.annotated.nh2.vcf.gz.tbi	8cf79a4d8b398c97c52755615a8d8ffa;bc2eab67981fead43c7b7995e1732ff9	30266061759;2729231	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375566/LP6005519-DNA_D01.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375566/LP6005519-DNA_D01.annotated.nh2.vcf.gz.tbi				
ERZ312782	PRJEB9586	SAMEA3302621		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312782/LP6005441-DNA_C02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312782/LP6005441-DNA_C02.srt.aln.bam.bai	8de4c28318c497c7e36af3db00bdb76e;d43f11768a3aa109c4c14e0e80576cee	101731813511;8871112	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312782/LP6005441-DNA_C02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312782/LP6005441-DNA_C02.srt.aln.bam.bai				
ERZ312783	PRJEB9586	SAMEA3302804		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312783/LP6005441-DNA_C05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312783/LP6005441-DNA_C05.srt.aln.bam.bai	79d58b418b781bf36fe196396556475e;dcfadd2ab2e80e428ef7e39a16156d8e	108616576188;8926296	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312783/LP6005441-DNA_C05.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312783/LP6005441-DNA_C05.srt.aln.bam.bai				
ERZ375570	PRJEB9586	SAMEA3302780		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375570/LP6005677-DNA_B01.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375570/LP6005677-DNA_B01.annotated.nh2.vcf.gz.tbi	2419858c98dcbcbe05a0ec8d3e847214;488fe31d922f73e0f94f512ff7e68f56	25226754411;2730723	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375570/LP6005677-DNA_B01.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375570/LP6005677-DNA_B01.annotated.nh2.vcf.gz.tbi				
ERZ312787	PRJEB9586	SAMEA3302667		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312787/LP6005441-DNA_C09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312787/LP6005441-DNA_C09.srt.aln.bam.bai	b034b4703d6145c0fdf0cb2de11bcc90;18b4606fe4b38f032d39c3ecfa8dd656	101352113396;8886768	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312787/LP6005441-DNA_C09.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312787/LP6005441-DNA_C09.srt.aln.bam.bai				
ERZ375571	PRJEB9586	SAMEA3302626		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375571/LP6005443-DNA_E07.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375571/LP6005443-DNA_E07.annotated.nh2.vcf.gz.tbi	6d15eabfa6da187c4eaee4c84c8bb840;7d856d9ecead262158b7070874b1b7c6	30014387243;2729063	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375571/LP6005443-DNA_E07.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375571/LP6005443-DNA_E07.annotated.nh2.vcf.gz.tbi				
ERZ312790	PRJEB9586	SAMEA3302903		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312790/LP6005441-DNA_D02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312790/LP6005441-DNA_D02.srt.aln.bam.bai	f6cea6450cce30e5e978c9031588c592;4de383a4bdae8fd2503d786996ecd88e	91456399975;8834864	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312790/LP6005441-DNA_D02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312790/LP6005441-DNA_D02.srt.aln.bam.bai				
ERZ375575	PRJEB9586	SAMEA3302753		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375575/LP6005442-DNA_F02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375575/LP6005442-DNA_F02.annotated.nh2.vcf.gz.tbi	ee002688b369671c8259ff82eda0fd5b;df49bd6e0381dc1fea13cd07862df60c	26954111522;2730515	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375575/LP6005442-DNA_F02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375575/LP6005442-DNA_F02.annotated.nh2.vcf.gz.tbi				
ERZ375576	PRJEB9586	SAMEA3302700		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375576/LP6005443-DNA_D08.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375576/LP6005443-DNA_D08.annotated.nh2.vcf.gz.tbi	5eadb9a0ae754a91b7eeb57bf254f66a;2be0998a801044e3c2d0af3dcb240cab	27663891282;2730031	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375576/LP6005443-DNA_D08.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375576/LP6005443-DNA_D08.annotated.nh2.vcf.gz.tbi				
ERZ312791	PRJEB9586	SAMEA3302782		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312791/LP6005441-DNA_D03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312791/LP6005441-DNA_D03.srt.aln.bam.bai	743ee785946b5f3c4018eca2052bf983;0ee7de24a693ab637c98c38671ea5ca4	93546688681;8876344	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312791/LP6005441-DNA_D03.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312791/LP6005441-DNA_D03.srt.aln.bam.bai				
ERZ312792	PRJEB9586	SAMEA3302785		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312792/LP6005441-DNA_D04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312792/LP6005441-DNA_D04.srt.aln.bam.bai	98132d054a335e0e29b9371ea934e04b;c9cf03a487665fc605e89a3d108c087b	97557497084;8860320	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312792/LP6005441-DNA_D04.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312792/LP6005441-DNA_D04.srt.aln.bam.bai				
ERZ375580	PRJEB9586	SAMEA3302897		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375580/LP6005441-DNA_H09.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375580/LP6005441-DNA_H09.annotated.nh2.vcf.gz.tbi	6bc043b37d9bf9cf799132f3a79c9d30;7515f684f4a24387908bd7a6b90e0200	28214065231;2730154	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375580/LP6005441-DNA_H09.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375580/LP6005441-DNA_H09.annotated.nh2.vcf.gz.tbi				
ERZ312793	PRJEB9586	SAMEA3302770		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312793/LP6005441-DNA_D05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312793/LP6005441-DNA_D05.srt.aln.bam.bai	c0b9353dfdc87116c17c2b0666b33602;d8ef597189109a26b85af152ca99ce78	174408539810;8920960	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312793/LP6005441-DNA_D05.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312793/LP6005441-DNA_D05.srt.aln.bam.bai				
