# nrow	Sequencing Panel	Sample ID (Illumina)	Sample ID (Collaborator)	Sample ID (SGDP)	DNA Source	Embargo level (X=Fully Public, Y=Signed Letter)	Genetic sex assignment	Population ID	Region	Country	Town	Latitude	Longitude	Coverage (mean)	Number of bases covered without masking	Number of bases covered filter level >=0	Number of bases covered filter level >=1	Number of bases covered filter level >=9	Divergence per bp to hg19 without masking	Divergence per bp to hg19 filter level >=0	Divergence per bp to hg19 filter level >=1	Divergence per bp to hg19 filter level >=9	mtDNA haplogroup	Y haplogroup	samtools autosomal heterozygosity	samtools X heterozygosity	mlrho autosomal heterozygosity	mlrho X chromosome heterozygosity	zygosities:mlrho_X_het_lowerBound	zygosities:mlrho_X_het_upperBound	GATK heterozygosity rate filter level without masking	GATK heterozygosity rate filter level filter level >=0	GATK heterozygosity rate filter level filter level >=1	GATK heterozygosity rate filter level filter level >=9	Neanderthal ancestry estimate based on rate of nd10 sites	Denisova ancestry estimate based on rate of nd10 sites	Discordance rate with Human Origins SNP array	Fraction of variants not seen in 1kg at filter level >=1 	Fraction of genome covered at 20X	Fraction of genome covered at 10X	Concordance with Omni genotyping array	Contamination estimate (conTEST) at filter level>=0 (fraction)	Contamination estimate (conTEST) at filter level>=1 (fraction)	Contamination estimate (conTEST) at filter level>=9 (fraction)
111	C	LP6005441-DNA_F08	HGDP01223	S_Mongola-2	Genomic_from_cell_lines	X	XX	Mongola	CentralAsiaSiberia	China	?	45	111	44.9	2657027469	2325232756	2127472332	1242919355	0.001049372	0.000932132	0.000884644	0.000843	M7b3	..	0.000830971	0.000451498	0.00086	0.000512	0.000506	0.000517	0.000870401	0.00072874	0.000694558	0.00066591	0.023	0.004	0.002	0.0166	0.91	0.91	0.993	0.001	0.001	0.001
112	C	LP6005443-DNA_E05	Ale32	S_Tlingit-1	Genomic_from_blood	X	XY	Tlingit	CentralAsiaSiberia	Russia	Preobrazhenskoe, Commander Islands	53	158.65	44.97	2657230491	2329114474	2128238175	1240525553	0.001026112	0.000912019	0.000866904	0.00083	D2a	N1c2b2	0.000873939	4.19e-05	0.000931	5.83e-05	5.67e-05	5.99e-05	0.000911415	0.000771384	0.000735784	0.000706411	0.022	0.002	0.002	0.015	0.9	0.92	0.993	0.001	0.001	0.001
113	C	LP6005443-DNA_D05	Ale14	S_Tlingit-2	Genomic_from_blood	X	XX	Tlingit	CentralAsiaSiberia	Russia	Nikolskoye, Commander Islands	55.18	166	47.61	2648696532	2320706774	2131427371	1205831562	0.001024575	0.000910602	0.000867141	0.000836	D2a	..	0.000860245	0.000466237	0.000889	0.000529	0.000523	0.000535	0.000897604	0.000756711	0.000722439	0.000698994	0.023	0.003	0.002	0.0159	0.91	0.91	0.993	0.001	0.001	0.001
114	C	LP6005442-DNA_F12	Tuba19	S_Tubalar-1	Genomic_from_blood	X	XX	Tubalar	CentralAsiaSiberia	Russia	Artybash and Kebezen, Altai-Sayan Upland	51.13333333	87	39.27	2656370756	2326745326	2140678416	1168537985	0.001027027	0.000914122	0.000870846	0.000835	C4b3	..	0.000868771	0.00050576	0.000877	0.000558	0.000553	0.000564	0.000899662	0.000763344	0.000729924	0.000702749	0.023	0.004	0.002	0.0159	0.91	0.91	0.992	0.001	0.001	0.001
115	C	LP6005442-DNA_E12	Tuba9	S_Tubalar-2	Genomic_from_blood	X	XX	Tubalar	CentralAsiaSiberia	Russia	Artybash and Kebezen, Altai-Sayan Upland	51.13333333	87	41.96	2656738430	2329590804	2160924669	1269326447	0.001036114	0.000920836	0.000878753	0.000853	D4b1a2a1	..	0.000867687	0.00047685	0.000893	0.000536	0.000531	0.000542	0.000906436	0.000763428	0.000729953	0.000707594	0.024	0.004	0.002	0.016	0.91	0.91	0.994	0.001	0.001	0.001
116	C	LP6005442-DNA_H12	Ul31	S_Ulchi-1	Genomic_from_blood	X	XX	Ulchi	CentralAsiaSiberia	Russia	Nizhniy Gavan, Lower Amur	52.43	140.42	43.3	2655618180	2327088078	2144692907	1195563902	0.001051974	0.000932818	0.000887898	0.000852	Y1a	..	0.00080503	0.000396528	0.000832	0.000455	0.00045	0.00046	0.000842509	0.000702172	0.000670856	0.000646914	0.026	0.004	0.002	0.0191	0.91	0.91	0.993	0.001	0.001	0.001
117	C	LP6005442-DNA_G12	Ul5	S_Ulchi-2	Genomic_from_blood	X	XX	Ulchi	CentralAsiaSiberia	Russia	Bogorodskoe, Lower Amur	52.37	140.45	41.02	2655066789	2327587894	2141215662	1160827669	0.001050121	0.00093111	0.000886468	0.000852	C5a1	..	0.000815551	0.000391408	0.000844	0.000451	0.000446	0.000456	0.000853738	0.000711551	0.000679642	0.000655911	0.022	0.005	0.002	0.0188	0.91	0.91	0.993	0.001	0.001	0.001
118	C	LP6005442-DNA_F01	HGDP00956	S_Yakut-1	Genomic_from_cell_lines	X	XX	Yakut	CentralAsiaSiberia	Russia	?	63	129.5	40.03	2656712614	2299595125	1976329945	1166392217	0.001047075	0.000927664	0.000881646	0.000816	G2a:0	..	0.000830402	0.000475308	0.000843	0.000523	0.000517	0.000528	0.000871535	0.000728001	0.000693441	0.000649945	0.028	0.004	0.002	0.0179	0.91	0.91	0.993	0.001	0.001	0.001
119	C	LP6005443-DNA_D02	HGDP00951	S_Yakut-2	Genomic_from_cell_lines	X	XY	Yakut	CentralAsiaSiberia	Russia	?	63	129.5	47.53	2638984842	2310541311	2120418821	1250310568	0.001050751	0.000929604	0.000882854	0.000843	F2b	N1c1a1	0.000808071	3.88e-05	0.000865	5.79e-05	5.63e-05	5.96e-05	0.000844341	0.000699481	0.00066823	0.000643032	0.022	0.004	0.002	0.0179	0.9	0.92	0.993	0.001	0.001	0.001
120	C	LP6005442-DNA_C07	NA13607	S_Ami-1	Genomic_from_cell_lines	X	XY	Ami	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	22.843145	121.185356	36.74	2655339860	2327444775	2117393263	1196065966	0.001042928	0.000928662	0.000882301	0.000845	M7c3c	O3a2b1	0.00076377	3.98e-05	0.0008	5.46e-05	5.31e-05	5.61e-05	0.000796826	0.000663237	0.000633023	0.000605553	0.022	0.004	0.002	0.0183	0.88	0.92	0.993	0.001	0.001	0.001
121	C	LP6005443-DNA_G05	NA13616	S_Ami-2	Genomic_from_cell_lines	X	XY	Ami	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	22.843145	121.185356	46.3	2653026938	2324044747	2142534307	1160273505	0.001049832	0.000931326	0.000884844	0.000836	B4a1a	O3a2b1	0.000760868	4e-05	0.000809	5.69e-05	5.53e-05	5.84e-05	0.000795739	0.000659476	0.00063108	0.000592823	0.024	0.003	0.002	0.0198	0.9	0.92	0.993	0.001	0.001	0.001
122	C	LP6005442-DNA_E07	NA13604	S_Atayal-1	Genomic_from_cell_lines	X	XY	Atayal	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	24.611712	121.296444	37.18	2654769305	2326985381	2128654305	1243304712	0.001041544	0.000927946	0.000882007	0.000844	N9a10a	O1a1	0.000723831	3.98e-05	0.000759	5.49e-05	5.34e-05	5.64e-05	0.000755129	0.000628047	0.000600454	0.000577449	0.023	0.003	0.002	0.0184	0.88	0.92	0.994	0.001	0.001	0.001
123	C	LP6005519-DNA_B06	Bu16	S_Burmese-1	Genomic_from_saliva	X	XY	Burmese	EastAsia	Myanmar	Mandalay (sampled in Singapore)	17	96.7	57.19	2645294408	2313558806	2130974084	1206389382	0.001047862	0.000929404	0.000882485	0.000839	F1c1a	O3a1c2	0.000829572	4.36e-05	0.000891	6.86e-05	6.68e-05	7.04e-05	0.000868064	0.000724875	0.000692785	0.00066204	0.024	0.004	..	0.0172	0.92	0.92	0.993	0.001	0.001	0.001
124	C	LP6005519-DNA_A06	Bu5	S_Burmese-2	Genomic_from_saliva	X	XY	Burmese	EastAsia	Myanmar	Yangon (sampled in Singapore)	17	96.7	49.5	2648305321	2317914225	2130018202	1166242898	0.001047144	0.000929571	0.000884015	0.000846	M74b	O3a2c1a	0.000845431	4.58e-05	0.000904	6.87e-05	6.7e-05	7.05e-05	0.000885393	0.000742056	0.000709261	0.000678619	0.022	0.005	..	0.0161	0.91	0.92	0.993	0.001	0.001	0.001
125	C	LP6005441-DNA_G03	HGDP00717	S_Cambodian-1	Genomic_from_cell_lines	X	XY	Cambodian	EastAsia	Cambodia	?	12	105	42.94	2655643011	2326601957	2144469457	1205342522	0.001048039	0.000930661	0.000885024	0.000843	F1f	O2a1	0.000822007	4.28e-05	0.000873	6.2e-05	6.04e-05	6.37e-05	0.000855994	0.000714086	0.000682552	0.000651689	0.025	0.004	0.005	0.0199	0.9	0.92	0.992	0.001	0.001	0.001
126	C	LP6005441-DNA_H03	HGDP00713	S_Cambodian-2	Genomic_from_cell_lines	X	XX	Cambodian	EastAsia	Cambodia	?	12	105	38.93	2654629657	2326558078	2151128285	1161066081	0.001044174	0.000928005	0.00088462	0.00085	F1a1a1	..	0.000860339	0.00045183	0.000878	0.000512	0.000507	0.000518	0.000894198	0.00075126	0.000718921	0.000694585	0.023	0.006	0.005	0.0182	0.9	0.91	0.992	0.001	0.001	0.001
127	C	LP6005592-DNA_D03	HGDP01314	S_Dai-1	Genomic_from_cell_lines	X	XX	Dai	EastAsia	China	?	21	100	49.51	2644465325	2315870505	2126573405	1183316214	0.001048677	0.000929729	0.000882794	0.000839	F1g	..	0.00082176	0.000435254	0.000865	0.000516	0.00051	0.000522	0.000862261	0.000717103	0.000683214	0.000653161	0.023	0.005	0.002	0.0158	0.91	0.91	0.994	0.001	0.001	0.001
128	C	LP6005443-DNA_B01	HGDP01312	S_Dai-2	Genomic_from_cell_lines	X	XY	Dai	EastAsia	China	?	21	100	39.75	2655586193	2326472558	2131214831	1230391200	0.001047499	0.000929871	0.00088405	0.000844	F1a2	O2a1	0.000793714	4.75e-05	0.000844	6.4e-05	6.23e-05	6.57e-05	0.000830783	0.000690685	0.000659413	0.000631285	0.023	0.004	0.002	0.0148	0.89	0.92	0.993	0.001	0.001	0.001
129	C	LP6005441-DNA_D04	HGDP01315	S_Dai-3	Genomic_from_cell_lines	X	XX	Dai	EastAsia	China	?	21	100	39.05	2654739152	2303553142	2120101947	1251701124	0.001049942	0.000929494	0.000885494	0.000855	M7c3b	..	0.000801645	0.000423033	0.000823	0.000477	0.000472	0.000482	0.000844619	0.000702467	0.000672596	0.000653619	0.024	0.003	0.002	0.0154	0.9	0.91	0.993	0.001	0.001	0.001
130	C	LP6005441-DNA_F04	HGDP01215	S_Daur-2	Genomic_from_cell_lines	X	XX	Daur	EastAsia	China	?	48.5	124	45.92	2655767487	2325568387	2139516312	1259122746	0.001042451	0.000925944	0.000880807	0.000843	Z4	..	0.000834111	0.000446709	0.000869	0.000517	0.000511	0.000523	0.000870888	0.000728258	0.00069533	0.000669901	0.022	0.004	0.004	0.0174	0.91	0.91	0.993	0.001	0.001	0.001
131	C	LP6005441-DNA_D05	HGDP00783	S_Han-1	Genomic_from_cell_lines	X	XX	Han	EastAsia	China	?	32.3	114	68.83	2657433049	2320981297	2154108658	1233061374	0.001051553	0.000930736	0.000883847	0.000838	D5a2a1:0	..	..	0.000424728	0.000881	0.000506	0.0005	0.000513	0.000869379	0.000722833	0.00069051	0.000663875	0.024	0.005	0.002	0.0168	0.91	0.92	0.993	0.001	0.001	0.001
132	C	LP6005441-DNA_C05	HGDP00785	S_Han-2	Genomic_from_cell_lines	X	XY	Han	EastAsia	China	?	32.3	114	42.36	2655077091	2315674363	2107655594	1229325852	0.001040899	0.000924949	0.00087678	0.000831	M7b1'2'4'5'6'7'8	O1a1	0.000792535	3.99e-05	0.000845	5.9e-05	5.74e-05	6.06e-05	0.000828866	0.000695483	0.000663817	0.000634636	0.023	0.004	0.002	0.0163	0.89	0.92	0.993	0.001	0.001	0.001
133	C	LP6005441-DNA_G05	HGDP01240	S_Hezhen-1	Genomic_from_cell_lines	X	XY	Hezhen	EastAsia	China	?	47.5	133.5	42.73	2655159153	2327919743	2134329574	1157976319	0.001045462	0.00092843	0.000884479	0.000856	C4b3a	O2b	0.000792984	3.82e-05	0.000845	6.19e-05	6.03e-05	6.36e-05	0.000825886	0.000690368	0.000660779	0.000635508	0.021	0.004	0.002	0.0189	0.9	0.92	0.993	0.001	0.001	0.001
134	C	LP6005441-DNA_H05	HGDP01242	S_Hezhen-2	Genomic_from_cell_lines	X	XX	Hezhen	EastAsia	China	?	47.5	133.5	40.54	2654845046	2324503229	2155181729	1218867369	0.001045989	0.000929313	0.000885027	0.000846	C5d1	..	0.000829576	0.000430353	0.00086	0.000492	0.000487	0.000497	0.00086503	0.000725143	0.000693975	0.000668523	0.024	0.003	0.002	0.0176	0.91	0.91	0.993	0.001	0.001	0.001
135	C	LP6005441-DNA_C06	HGDP00749	S_Japanese-1	Genomic_from_cell_lines	X	XY	Japanese	EastAsia	Japan	?	38	138	83.23	2657363411	2316613970	2142041883	1225752083	0.001052156	0.000932007	0.000883271	0.000833	N9b1a	O3a2c1a	0.000801412	3.92e-05	0.000891	6.72e-05	6.52e-05	6.92e-05	0.000843906	0.000696695	0.000664792	0.000629864	0.022	0.003	0.002	0.0161	0.92	0.92	0.993	0.001	0.001	0.001
136	C	LP6005441-DNA_D06	HGDP00773	S_Japanese-2	Genomic_from_cell_lines	X	XX	Japanese	EastAsia	Japan	?	38	138	41.99	2654732572	2321173879	2132151003	1257578170	0.001045112	0.000927579	0.000885165	0.000859	M7b2	..	0.000826611	0.000401657	0.000863	0.00047	0.000465	0.000476	0.000866099	0.000723153	0.000692915	0.000675105	0.021	0.004	0.002	0.0157	0.91	0.91	0.993	0.001	0.001	0.001
137	C	LP6005592-DNA_C02	NA18940	S_Japanese-3	Genomic_from_cell_lines	X	XY	Japanese	EastAsia	Japan	Tokyo	38	138	48.34	2649907779	2322373738	2142098275	1167882475	0.00104569	0.000929011	0.000886344	0.000849	M7a1a1a	D2a4	0.000813814	4.12e-05	0.000863	6.09e-05	5.92e-05	6.26e-05	0.000846853	0.000704047	0.000674866	0.000644656	0.021	0.004	..	0.0106	0.91	0.92	0.993	0.001	0.001	0.001
138	C	LP6005442-DNA_D11	HG01600	S_Kinh-1	Genomic_from_cell_lines	X	XX	Kinh	EastAsia	Vietnam	Ho Chi Minh City	21	105.9	38.35	2655885087	2326548669	2133302797	1207003038	0.001050952	0.000932321	0.000887964	0.000853	F1f	..	0.000828772	0.000411659	0.000862	0.000475	0.00047	0.00048	0.000870489	0.000726988	0.000694955	0.000673772	0.024	0.003	0.002	0.0107	0.9	0.91	0.992	0.001	0.001	0.001
139	C	LP6005442-DNA_C11	HG01846	S_Kinh-2	Genomic_from_cell_lines	X	XY	Kinh	EastAsia	Vietnam	Ho Chi Minh City	21	105.9	37.2	2656102294	2325125144	2153886000	1259434643	0.001046785	0.000927466	0.000884095	0.000849	M7b8	O2a1a	0.000806996	4.4e-05	0.000859	6.67e-05	6.51e-05	6.84e-05	0.000845209	0.000702946	0.000673029	0.000647153	0.023	0.004	0.002	0.0106	0.88	0.92	0.993	0.001	0.001	0.001
140	C	LP6005443-DNA_D06	ND19394	S_Korean-1	Genomic_from_cell_lines	X	XY	Korean	EastAsia	Korea	Cell_line_repository_sampling_location_unknown	37.6	127	44.32	2630366233	2304943501	2127213367	1241801972	0.001049908	0.00093243	0.000884591	0.000834	F4a1	O3a2c	0.000798039	3.59e-05	0.000857	5.67e-05	5.52e-05	5.83e-05	0.000833969	0.00069669	0.000664469	0.00063068	0.023	0.004	0.002	0.0166	0.9	0.92	0.993	0.001	0.001	0.001
141	C	LP6005443-DNA_C06	NA00726	S_Korean-2	Genomic_from_cell_lines	X	XX	Korean	EastAsia	Korea	Cell_line_repository_sampling_location_unknown	37.6	127	53.33	2638380783	2309140148	2104709874	1151163199	0.001047658	0.00093169	0.000884746	0.000844	G3a2	..	0.000829356	0.000442924	0.000864	0.000512	0.000507	0.000518	0.000867327	0.000724829	0.000690032	0.000660783	0.025	0.004	0.002	0.0178	0.91	0.91	0.992	0.001	0.001	0.001
142	C	LP6005441-DNA_B07	HGDP01323	S_Lahu-1	Genomic_from_cell_lines	X	XX	Lahu	EastAsia	China	?	22	100	38.44	2655346607	2326537218	2143884903	1231580076	0.001043229	0.000928642	0.000885758	0.000853	C7a	..	0.000820334	0.00038898	0.000849	0.000447	0.000442	0.000452	0.000855691	0.000715869	0.000684928	0.000661683	0.022	0.005	0.002	0.0166	0.9	0.91	0.994	0.001	0.001	0.001
143	C	LP6005443-DNA_E01	HGDP01320	S_Lahu-2	Genomic_from_cell_lines	X	XY	Lahu	EastAsia	China	?	22	100	58.14	2652931423	2320401153	2143833778	1236654609	0.001052064	0.000932555	0.000887302	0.000853	D4j1a1	F2	0.000784622	4.55e-05	0.000847	6.87e-05	6.69e-05	7.05e-05	0.000826242	0.000680478	0.000650769	0.000629845	0.023	0.004	0.002	0.0169	0.92	0.92	0.993	0.001	0.001	0.001
144	C	LP6005441-DNA_C08	HGDP01191	S_Miao-1	Genomic_from_cell_lines	X	XY	Miao	EastAsia	China	?	28	109	34.95	2655533497	2325015753	2111051799	1204469617	0.001042968	0.000929664	0.000881791	0.000841	D4i	O2a1a	0.000785465	3.88e-05	0.000838	5.69e-05	5.53e-05	5.84e-05	0.000822749	0.000689314	0.000656889	0.000626403	0.023	0.005	0.002	0.017	0.87	0.92	0.992	0.001	0.001	0.001
145	C	LP6005441-DNA_D08	HGDP01198	S_Miao-2	Genomic_from_cell_lines	X	XX	Miao	EastAsia	China	?	28	109	37.11	2655196030	2324230792	2100344372	1173870932	0.001039412	0.00092598	0.000876624	0.000835	B4d1	..	0.000812217	0.000434188	0.000862	0.000507	0.000502	0.000512	0.000853243	0.000718001	0.000682077	0.000653161	0.023	0.006	0.003	0.0181	0.9	0.91	0.993	0.001	0.001	0.001
146	C	LP6005443-DNA_E09	HGDP01338	S_Naxi-1	Genomic_from_cell_lines	X	XY	Naxi	EastAsia	China	?	26	100	41.35	2645482523	2315991780	2127088024	1259549247	0.001054902	0.000933107	0.000887824	0.000853	A11b	O3a2c1a	0.000807727	4.89e-05	0.000869	7.09e-05	6.92e-05	7.27e-05	0.000850772	0.000705919	0.000674941	0.000649677	0.022	0.005	0.002	0.0172	0.89	0.92	0.993	0.001	0.001	0.001
147	C	LP6005441-DNA_A09	HGDP01344	S_Naxi-2	Genomic_from_cell_lines	X	XY	Naxi	EastAsia	China	?	26	100	41.19	2657092922	2322878657	2107128350	1225011649	0.001038254	0.000925633	0.000879315	0.000836	B4a4	N	0.000905972	0.00030481	0.000978	0.000328	0.000325	0.000332	0.000939164	0.000789508	0.000752638	0.000706697	0.025	0.004	0.029	0.0163	0.9	0.92	0.967	0.047	0.048	0.051
148	C	LP6005441-DNA_B09	HGDP01345	S_Naxi-3	Genomic_from_cell_lines	X	XX	Naxi	EastAsia	China	?	26	100	42.06	2655953536	2321980370	2103250035	1168735812	0.00105062	0.000933199	0.000886941	0.000848	M71a1	..	0.000824189	0.000417954	0.000854	0.000476	0.00047	0.000481	0.000861253	0.00072373	0.000691628	0.000667319	0.024	0.005	0.003	0.0168	0.91	0.91	0.993	0.001	0.001	0.001
149	C	LP6005441-DNA_E09	HGDP01203	S_Oroqen-1	Genomic_from_cell_lines	X	XY	Oroqen	EastAsia	China	?	50.4	126.5	38.93	2656390019	2325380629	2144557694	1165809658	0.001043878	0.00092614	0.000881632	0.000841	D3	N1c1a	0.00078078	3.85e-05	0.000832	6.09e-05	5.93e-05	6.25e-05	0.000817006	0.00067676	0.00064785	0.000618608	0.024	0.004	0.002	0.0188	0.88	0.92	0.993	0.001	0.001	0.001
150	C	LP6005441-DNA_F09	HGDP01211	S_Oroqen-2	Genomic_from_cell_lines	X	XX	Oroqen	EastAsia	China	?	50.4	126.5	40.47	2656658587	2326553458	2146694617	1211048840	0.001046315	0.00092902	0.000883192	0.000838	D3	..	0.000796555	0.000384445	0.000826	0.000441	0.000436	0.000446	0.000834946	0.000695725	0.000663937	0.000634228	0.023	0.004	0.002	0.0181	0.91	0.91	0.994	0.001	0.001	0.001
151	C	LP6005443-DNA_G01	HGDP01335	S_She-1	Genomic_from_cell_lines	X	XX	She	EastAsia	China	?	27	119	48.79	2647116775	2206280703	2007272230	1137176745	0.001046269	0.000928235	0.000879282	0.000834	M7b1'2'4'5'6'7'8	..	0.000810532	0.000424406	0.000845	0.000483	0.000478	0.000489	0.000852699	0.000713495	0.000678658	0.000646366	0.027	0.004	0.002	0.0163	0.91	0.91	0.992	0.001	0.001	0.001
152	C	LP6005443-DNA_F01	HGDP01333	S_She-2	Genomic_from_cell_lines	X	XY	She	EastAsia	China	?	27	119	47.79	2618507791	2290483359	2093961449	1188917540	0.001053956	0.000934654	0.000886194	0.000841	M7c1b	O3a2b1a	0.000789813	3.91e-05	0.000845	5.66e-05	5.5e-05	5.82e-05	0.000828069	0.000686466	0.000654409	0.000622153	0.022	0.005	0.002	0.0168	0.91	0.92	0.993	0.001	0.001	0.001
153	C	LP6005443-DNA_A07	CHI-007	S_Thai-1	Genomic_from_cell_lines	X	XY	Thai	EastAsia	Thailand	Cell_line_repository_sampling_location_unknown	13.8	100.5	50.74	2656541406	2323373415	2131759665	1189686002	0.001048985	0.000930679	0.000882292	0.000832	D4g2a1	O3a2c	0.000843046	4.49e-05	0.000902	6.07e-05	5.91e-05	6.24e-05	0.000880198	0.000734592	0.000699554	0.000662541	0.025	0.004	..	0.0182	0.91	0.92	0.993	0.001	0.001	0.001
154	C	LP6005443-DNA_B07	CHI-034	S_Thai-2	Genomic_from_cell_lines	X	XX	Thai	EastAsia	Thailand	Cell_line_repository_sampling_location_unknown	13.8	100.5	45.61	2648377569	2311387968	2078996830	1200237073	0.001044343	0.000927173	0.000874432	0.000823	F1a1	..	0.000831012	0.000414911	0.00085	0.000463	0.000458	0.000468	0.000867144	0.000728466	0.000692057	0.000658787	0.023	0.004	..	0.0163	0.91	0.91	0.993	0.001	0.001	0.001
155	C	LP6005443-DNA_H01	HGDP01350	S_Tu-1	Genomic_from_cell_lines	X	XY	Tu	EastAsia	China	?	36	101	50.25	2639502011	2312798684	2132757921	1189414514	0.001044092	0.000926154	0.000881257	0.000841	F1a1a	R1a1a1b2a1b	0.000827423	4.12e-05	0.000896	6.53e-05	6.36e-05	6.71e-05	0.000868624	0.000724911	0.000693087	0.000660247	0.024	0.003	0.002	0.0165	0.91	0.92	0.993	0.001	0.001	0.001
156	C	LP6005441-DNA_D12	HGDP01355	S_Tu-2	Genomic_from_cell_lines	X	XX	Tu	EastAsia	China	?	36	101	38.48	2655304412	2317362621	2093000299	1197512838	0.001044991	0.000928471	0.000883606	0.000832	D4h1	..	0.000846797	0.000451659	0.000864	0.000505	0.0005	0.00051	0.000884909	0.000743497	0.000710251	0.000674639	0.025	0.005	0.002	0.0163	0.9	0.91	0.993	0.001	0.001	0.001
157	C	LP6005443-DNA_A02	HGDP01095	S_Tujia-1	Genomic_from_cell_lines	X	XY	Tujia	EastAsia	China	?	29	109	49.52	2656075486	2324432640	2138757244	1196288938	0.001049499	0.000930864	0.000885274	0.000849	B4a	O2a1a	0.000797142	4.1e-05	0.000863	6.77e-05	6.59e-05	6.95e-05	0.000836429	0.000693874	0.000662291	0.000635242	0.023	0.005	0.002	0.0165	0.91	0.92	0.995	0.001	0.001	0.001
158	C	LP6005441-DNA_F12	HGDP01098	S_Tujia-2	Genomic_from_cell_lines	X	XX	Tujia	EastAsia	China	?	29	109	39.15	2655692375	2302282955	1975837022	1211753995	0.001046046	0.000927701	0.000881391	0.000826	A6	..	0.000797249	0.000432538	0.000813	0.000481	0.000476	0.000486	0.000841433	0.000703449	0.000670841	0.000637923	0.023	0.006	0.004	0.0164	0.9	0.91	0.993	0.001	0.001	0.001
159	C	LP6005442-DNA_B01	HGDP01306	S_Uygur-1	Genomic_from_cell_lines	X	XX	Uygur	EastAsia	China	Yili	44	81	38.65	2655711534	2308196916	2021925789	1213531804	0.001028074	0.000912458	0.000866649	0.000816	U1a	..	0.000901185	0.000509787	0.000914	0.000557	0.000552	0.000562	0.000941001	0.000801026	0.00076435	0.000729407	0.022	0.004	0.003	0.0153	0.9	0.91	0.993	0.001	0.001	0.001
160	C	LP6005443-DNA_B02	HGDP01297	S_Uygur-2	Genomic_from_cell_lines	X	XY	Uygur	EastAsia	China	Yili	44	81	50.3	2656989231	2327969398	2140917849	1175235918	0.001034006	0.000918538	0.00087289	0.00083	M18a	R1a1a1b2a1a1	0.000879748	4.29e-05	0.000955	6.84e-05	6.66e-05	7.02e-05	0.000919243	0.0007757	0.000740304	0.000702767	0.021	0.004	0.002	0.0162	0.91	0.92	0.992	0.001	0.001	0.001
161	C	LP6005442-DNA_D01	HGDP01250	S_Xibo-1	Genomic_from_cell_lines	X	XY	Xibo	EastAsia	China	?	43.5	81.5	36.61	2656030090	2306309143	2002593839	1239876437	0.001047973	0.000931663	0.000887327	0.000846	C5d1	C3c1	0.000820674	4.08e-05	0.000848	4.71e-05	4.57e-05	4.85e-05	0.000853027	0.000713546	0.000682754	0.000658951	0.026	0.004	0.002	0.0173	0.88	0.92	0.993	0.001	0.001	0.001
162	C	LP6005443-DNA_C02	HGDP01246	S_Xibo-2	Genomic_from_cell_lines	X	XY	Xibo	EastAsia	China	?	43.5	81.5	51.54	2624862535	2296909317	2109665878	1172022553	0.001048114	0.00092948	0.000882393	0.000835	R11b	O3a2c	0.000813458	4.18e-05	0.000879	6.21e-05	6.04e-05	6.38e-05	0.000849515	0.000706792	0.000674152	0.000641147	0.023	0.005	0.002	0.0175	0.91	0.92	0.993	0.001	0.001	0.001
163	C	LP6005442-DNA_G01	HGDP01179	S_Yi-1	Genomic_from_cell_lines	X	XY	Yi	EastAsia	China	?	28	103	41.5	2656114295	2298686391	1965134086	1218034773	0.001049841	0.000930865	0.000884844	0.000828	F1g	O2a1	0.000808283	4.42e-05	0.000843	4.79e-05	4.65e-05	4.94e-05	0.000846226	0.000705502	0.000674217	0.000634193	0.025	0.005	0.005	0.0166	0.89	0.92	0.993	0.005	0.005	0.005
164	C	LP6005442-DNA_H01	HGDP01188	S_Yi-2	Genomic_from_cell_lines	X	XX	Yi	EastAsia	China	?	28	103	40.07	2656338779	2309294979	2027326937	1256647910	0.001047948	0.000930119	0.000883265	0.000837	B5a1a	..	0.000830582	0.000422823	0.00085	0.000471	0.000466	0.000476	0.000871443	0.000727606	0.000692936	0.00066393	0.025	0.005	0.002	0.0167	0.91	0.91	0.993	0.003	0.003	0.003
165	C	LP6005442-DNA_H04	lez49	S_Lezgin-1	Genomic_from_blood	X	Not Assigned	Lezgin	WestEurasia	Russia	Dagestanskiye_Ogni_in_Dagestan	42.1	48.2	40.31	2657166685	2328963768	2153527416	1157015616	0.001017892	0.000904294	0.000862445	0.000833	I5	R1b1a2a2a	0.000855158	4.34e-05	0.000906	6.64e-05	6.48e-05	6.81e-05	0.000887329	0.000749061	0.000718051	0.000691294	0.02	0.001	0.002	0.0159	0.89	0.92	0.993	0.001	0.001	0.001
166	C	LP6005441-DNA_B03	HGDP00660	S_Bougainville-1	Genomic_from_cell_lines	X	XX	Bougainville	Oceania	PapuaNewGuinea	Bougainville_Island	-6	155	41.72	2654011825	2210146605	2010646359	1168337311	0.00107066	0.000948085	0.000901559	0.000866	Q1c	..	0.000770148	0.000356709	0.000793	0.000418	0.000413	0.000423	0.000805323	0.00066213	0.000632535	0.000612032	0.027	0.043	0.002	0.0456	0.91	0.91	0.994	0.001	0.001	0.001
